Provider ID,Provider Name,Start Date,State of License
311,"Aquaman, Florrie",11/1/21,Texas
108,"Aquaman, Carmel",10/1/21,Texas
237,"Aquaman, Jazmin",2/1/21,New York
339,"Aquaman, Annelle",4/1/21,Florida
365,"Aquaman, Kristofer",6/1/21,New York
289,"Aquaman, Marvis",11/1/21,New York
443,"Aquaman, Theressa",11/1/21,New York
187,"Aquaman, Angeline",11/1/21,Florida
188,"Aquaman, Delois",11/1/21,New York
393,"Aquaman, Olene",11/1/21,Florida
360,"Aquaman, Chaya",11/1/21,Florida
241,"Aquaman, Millicent",11/1/21,Florida
136,"Aquaman, Fernande",11/1/21,Massachusetts
269,"Aquaman, Daniell",11/1/21,New York
449,"Aquaman, Dawn",11/1/21,Florida
193,"Aquaman, Genie",10/1/21,New York
116,"Aquaman, Cherie",10/1/21,Arizona
221,"Aquaman, Cora",10/1/21,Florida
425,"Aquaman, Florrie",10/1/21,Florida
934,"Aquaman, Angeline",10/1/21,Texas
423,"Aquaman, Chester",10/1/21,New York; New Jersey
936,"Aquaman, Eugene",10/1/21,Florida
131,"Aquaman, Zoraida",11/1/21,New York
131,"Aquaman, Zoraida",11/1/21,New York
401,"Aquaman, Maragret",10/1/21,Florida
685,"Aquaman, Dorthy",10/1/21,New York
427,"Aquaman, Denisha",10/1/21,Florida; New York
249,"Aquaman, Delois",10/1/21,Arizona; California; Pennsylvania
172,"Aquaman, Loraine",3/1/21,Connecticut
121,"Aquaman, Kimber",6/1/21,New York
456,"Aquaman, Clayton",9/1/21,New York
457,"Aquaman, Damaris",10/1/21,New York
354,"Aquaman, Theressa",10/1/21,New York
738,"Aquaman, Yolonda",11/1/21,New York
355,"Aquaman, Ching",9/1/21,New York
304,"Aquaman, Margaretta",8/1/21,New Jersey
381,"Aquaman, Leonora",7/1/21,New York
279,"Aquaman, Anthony",5/1/21,New York
357,"Aquaman, Ching",11/1/21,New York; Texas
306,"Aquaman, Salena",11/1/21,New York
153,"Aquaman, Marvis",10/1/21,Florida
2@h,"Archangel, Lenore",3/1/21,Florida
461,"Archangel, Lawana",6/1/21,Florida; Rhode Island
436,"Archangel, Denisha",9/1/21,Florida
104,"Archangel, Clayton",10/1/21,Florida
155,"Archangel, Yolonda",10/1/21,Florida; Ohio
360,"Archangel, Marybelle",11/1/21,Massachusetts
463,"Archangel, Randa",9/1/21,New York
63@,"Archangel, Salena",8/1/21,New Jersey
211,"Archangel, Felix",7/1/21,New Jersey
314,"Archangel, Ching",5/1/21,New York
442,"Archangel, Kiersten",11/1/21,New York
844,"Archangel, Dawn",11/1/21,Texas
391,"Archangel, Clayton",10/1/21,Florida
417,"Archangel, Leonore",3/1/21,New Jersey;New York
213,"Archangel, Dawn",6/1/21,Florida
855,"Archangel, Xiomara",9/1/21,Texas
136,"Archangel, Torie",10/1/21,Florida
162,"Archangel, Lela",10/1/21,New York
469,"Archangel, Corrie",11/1/21,Texas
605,"Archangel, Annelle",9/1/21,Texas
137,"Archangel, Chaya",8/1/21,New York
188,"Archangel, Ludivina",7/1/21,Florida
367,"Archangel, Dawn",5/1/21,New York
870,"Archangel, Elmo",11/1/21,New York
240,"Archangel, Jaimee",11/1/21,New York
106,"Archangel, Ronny",10/1/21,Florida
369,"Archangel, Daniell",10/1/21,New York
123,"Archangel, Theressa",10/1/21,Florida
192,"Archangel, Felix",10/1/21,Florida
473,"Archangel, Ching",10/1/21,Florida
116,"Archangel, Yolonda",10/1/21,Massachusetts
397,"Archangel, Lela",1/1/21,New York
193,"Archangel, Torie",6/1/21,Florida
406,"Archangel, Theressa",2/1/21,New York
399,"Archangel, Crissy",10/1/21,Arizona
164,"Archangel, Taren",10/1/21,Florida
170,"Archangel, Taren",11/1/21,Florida
196,"Archangel, Olene",9/1/21,Texas
324,"Archangel, Genie",8/1/21,New York; New Jersey
452,"Archangel, Carmon",7/1/21,Florida
402,"Archangel, Jospeh",5/1/21,New York
961,"Archangel, Cherie",11/1/21,New York
148,"Archangel, Eugenie",11/1/21,Florida
721,"Archangel, Elene",10/1/21,New York
277,"Archangel, Florrie",2/1/21,Florida; New York
380,"Archangel, Anthony",4/1/21,Arizona; California; Pennsylvania
329,"Archangel, Fidel",6/1/21,Connecticut
329,"Archangel, Cherie",11/1/21,New York
201,"Archangel, Chaya",11/1/21,New York
252,"Archangel, Moshe",11/1/21,New York
330,"Archangel, Delois",11/1/21,New York
358,"Archangel, Margaretta",11/1/21,New York
384,"Banshee, Elene",11/1/21,New York
17@,"Banshee, Damaris",11/1/21,New Jersey
207,"Banshee, Ludivina",11/1/21,New York
386,"Banshee, Kandra",11/1/21,New York
438,"Banshee, Ronny",11/1/21,New York; Texas
310,"Banshee, Lela",10/1/21,New York
311,"Banshee, Elmo",10/1/21,Florida
132,"Banshee, Dawn",10/1/21,Florida
311,"Banshee, Lela",10/1/21,Florida; Rhode Island
465,"Banshee, Carmon",10/1/21,Florida
362,"Banshee, Darius",10/1/21,Florida
388,"Banshee, Alona",10/1/21,Florida; Ohio
210,"Banshee, Eugenie",10/1/21,Massachusetts
133,"Banshee, Annelle",10/1/21,New York
415,"Banshee, Elene",10/1/21,New Jersey
134,"Banshee, Yolonda",10/1/21,New Jersey
328,"Banshee, Chester",3/1/21,New York
109,"Banshee, Wiley",6/1/21,New York
442,"Banshee, Elene",9/1/21,Texas
333,"Banshee, Vina",10/1/21,Florida
78@,"Banshee, Olene",10/1/21,New Jersey;New York
289,"Banshee, Vertie",11/1/21,Florida
443,"Banshee, Hyo",9/1/21,Texas
239,"Banshee, Leonora",8/1/21,Florida
341,"Banshee, Felix",7/1/21,New York
188,"Banshee, Florrie",5/1/21,Texas
112,"Banshee, Ludivina",11/1/21,Texas
318,"Banshee, Vina",11/1/21,New York
343,"Banshee, Melani",10/1/21,Florida
293,"Banshee, Florrie",3/1/21,New York
629,"Banshee, Delois",6/1/21,New York
166,"Banshee, Lisha",9/1/21,New York
319,"Banshee, Marvis",10/1/21,Florida
447,"Banshee, Randa",10/1/21,New York
217,"Banshee, Xiomara",11/1/21,Florida
320,"Banshee, Kami",9/1/21,Florida
387,"Banshee, Crissy",8/1/21,Florida
474,"Banshee, Alona",7/1/21,Massachusetts
423,"Banshee, Kasey",5/1/21,New York
423,"Banshee, Vina",11/1/21,Florida
244,"Banshee, Chester",11/1/21,New York
410,"Banshee, Anthony",10/1/21,Arizona
450,"Banshee, Emiko",3/1/21,Florida
415,"Banshee, Joella",6/1/21,Florida
201,"Archangel, Chaya",11/1/21,Texas
323,"Banshee, Cherie",9/1/21,New York; New Jersey
222,"Banshee, Cherie",10/1/21,Florida
171,"Banshee, Millicent",10/1/21,New York
299,"Banshee, Fernande",11/1/21,New York
479,"Banshee, Salena",9/1/21,Florida
479,"Banshee, Xiomara",8/1/21,New York
403,"Banshee, Ronny",7/1/21,Florida; New York
147,"Banshee, Florrie",5/1/21,Arizona; California; Pennsylvania
275,"Banshee, Eugenie",11/1/21,Connecticut
378,"Banshee, Aide",11/1/21,New York
379,"Banshee, Kasey",10/1/21,New York
430,"Banshee, Laticia",10/1/21,New York
251,"Banshee, Marvis",10/1/21,New York
302,"Banshee, Crissy",10/1/21,New York
212,"Banshee, Astrid",10/1/21,New York
354,"Banshee, Lela",10/1/21,New Jersey
175,"Banshee, Jospeh",1/1/21,New York
303,"Banshee, Ronny",6/1/21,New York
227,"Banshee, Cherie",2/1/21,New York; Texas
742,"Banshee, Millicent",10/1/21,New York
458,"Banshee, Jazmin",10/1/21,Florida
228,"Banshee, Kasey",11/1/21,Florida
100,"Banshee, Dorthy",9/1/21,Florida; Rhode Island
254,"Banshee, Bula",8/1/21,Florida
332,"Banshee, Taren",7/1/21,Florida
383,"Banshee, Kasey",5/1/21,Florida; Ohio
508,"Banshee, Lien",11/1/21,Massachusetts
230,"Banshee, Bula",11/1/21,New York
384,"Batman, Everett",10/1/21,New Jersey
359,"Batman, Fernande",2/1/21,New Jersey
777,"Batman, Dorthy",4/1/21,New York
308,"Batman, Theressa",6/1/21,New York
411,"Batman, Theressa",11/1/21,Texas
105,"Batman, Lenore",11/1/21,Florida
284,"Batman, Abram",11/1/21,New Jersey;New York
439,"Batman, Leonore",11/1/21,Florida
816,"Batman, Elene",11/1/21,Texas
465,"Batman, Nohemi",11/1/21,Florida
820,"Batman, Xiomara",11/1/21,New York
263,"Batman, Fernande",11/1/21,Texas
416,"Batman, Christi",11/1/21,Texas
237,"Batman, Alona",11/1/21,New York
135,"Batman, Florrie",10/1/21,Florida
332,"Batman, Chester",10/1/21,New York
162,"Batman, Chester",10/1/21,New York
162,"Batman, Emiko",10/1/21,New York
367,"Batman, Cherie",10/1/21,Florida
112,"Batman, Lauryn",10/1/21,New York
820,"Batman, Xiomara",11/1/21,Florida
137,"Batman, Ching",10/1/21,Florida
343,"Batman, Patrick",10/1/21,Florida
875,"Batman, Joella",10/1/21,Massachusetts
292,"Batman, Joella",10/1/21,New York
318,"Batman, Kasey",10/1/21,Florida
446,"Batman, Kasey",3/1/21,New York
165,"Batman, Mauricio",6/1/21,Arizona
370,"Batman, Aide",9/1/21,Florida
217,"Batman, Annelle",10/1/21,Florida
127,"Batman, Lawana",10/1/21,Texas
129,"Batman, Christi",11/1/21,New York; New Jersey
897,"Batman, Angeline",9/1/21,Florida
320,"Batman, Kasey",8/1/21,New York
390,"Batman, Annelle",7/1/21,New York
320,"Batman, Olene",5/1/21,Florida
295,"Batman, Hyo",11/1/21,New York
117,"Batman, Cherie",11/1/21,Florida; New York
297,"Batman, Lela",10/1/21,Arizona; California; Pennsylvania
222,"Batman, Torie",3/1/21,Connecticut
350,"Batman, Theressa",6/1/21,New York
350,"Batman, Eugenie",9/1/21,New York
171,"Batman, Lela",10/1/21,New York
188,"Batman, Loraine",10/1/21,New York
428,"Batman, Delois",11/1/21,New York
447,"Batman, Vina",9/1/21,New York
352,"Batman, Moshe",8/1/21,New Jersey
454,"Batman, Anthony",7/1/21,New York
301,"Batman, Kami",5/1/21,New York
710,"Batman, Theressa",11/1/21,New York; Texas
429,"Batman, Millicent",11/1/21,New York
225,"Batman, Christi",10/1/21,Florida
199,"Batman, Jospeh",3/1/21,Florida
225,"Batman, Jospeh",6/1/21,Florida; Rhode Island
481,"Batman, Carmel",9/1/21,Florida
982,"Batman, Margaretta",10/1/21,Florida
175,"Batman, Marybelle",10/1/21,Florida; Ohio
405,"Batman, Lenore",11/1/21,Massachusetts
124,"Batman, Leonore",9/1/21,New York
278,"Batman, Kasey",8/1/21,New Jersey
356,"Batman, Lenore",7/1/21,New Jersey
126,"Batman, Millicent",5/1/21,New York
459,"Batman, Denisha",11/1/21,New York
101,"Batman, Jazmin",11/1/21,Texas
502,"Batman, Astrid",10/1/21,Florida
101,"Batman, Loraine",10/1/21,New Jersey;New York
230,"Batman, Alona",10/1/21,Florida
256,"Beast, Lela",10/1/21,Texas
461,"Beast, Patrick",10/1/21,Florida
231,"Beast, Vina",10/1/21,New York
282,"Beast, Coralee",1/1/21,Texas
231,"Beast, Jaimee",6/1/21,Texas
462,"Beast, Mauricio",2/1/21,New York
258,"Beast, Kasey",10/1/21,Florida
463,"Beast, Laticia",10/1/21,New York
799,"Beast, Denver",11/1/21,New York
439,"Beast, Cherie",9/1/21,New York
106,"Beast, Cherie",8/1/21,Florida
362,"Beast, Kasey",7/1/21,New York
465,"Beast, Milan",5/1/21,Florida
466,"Beast, Millicent",11/1/21,Florida
415,"Beast, Laticia",11/1/21,Florida
287,"Beast, Corrie",10/1/21,Massachusetts
160,"Beast, Jazmin",2/1/21,New York
313,"Beast, Emiko",4/1/21,Florida
324,"Beast, Vertie",6/1/21,New York
288,"Beast, Dorthy",11/1/21,Arizona
467,"Beast, Dorthy",11/1/21,Florida
315,"Beast, Kami",11/1/21,Florida
187,"Beast, Theressa",11/1/21,Texas
291,"Beast, Debra",11/1/21,New York; New Jersey
470,"Beast, Olene",11/1/21,Florida
139,"Beast, Christi",11/1/21,New York
472,"Beast, Eugene",11/1/21,New York
205,"Bishop, Emiko",11/1/21,Florida
278,"Bishop, Yolonda",11/1/21,New York
259,"Bishop, Ronny",10/1/21,Florida; New York
182,"Bishop, Emiko",10/1/21,Arizona; California; Pennsylvania
465,"Bishop, Kami",10/1/21,Connecticut
337,"Bishop, Maragret",10/1/21,New York
415,"Bishop, Jospeh",10/1/21,New York
133,"Bishop, Hyo",10/1/21,New York
827,"Bishop, Elene",10/1/21,New York
836,"Bishop, Darius",10/1/21,New York
365,"Bishop, Crissy",10/1/21,New York
135,"Bishop, Daniell",10/1/21,New Jersey
212,"Bishop, Eugenie",10/1/21,New York
340,"Bishop, Darius",3/1/21,New York
417,"Bishop, Emiko",6/1/21,New York; Texas
289,"Bishop, Jerrold",9/1/21,New York
264,"Bishop, Dawn",10/1/21,Florida
860,"Bishop, Angeline",10/1/21,Florida
356,"Bishop, Clayton",11/1/21,Florida; Rhode Island
112,"Bishop, Debra",9/1/21,Florida
317,"Bishop, Melani",8/1/21,Florida
420,"Bishop, Taren",7/1/21,Florida; Ohio
216,"Bishop, Yolonda",5/1/21,Massachusetts
165,"Bishop, Fernande",11/1/21,New York
165,"Bishop, Ronny",11/1/21,New Jersey
893,"Bishop, Nohemi",10/1/21,New Jersey
130,"Bishop, Vertie",3/1/21,New York
371,"Bishop, Anthony",6/1/21,New York
192,"Bishop, Annelle",9/1/21,Texas
167,"Bishop, Loraine",10/1/21,Florida
372,"Bishop, Cherie",10/1/21,New Jersey;New York
347,"Bishop, Maragret",11/1/21,Florida
245,"Bishop, Ronny",9/1/21,Texas
152,"Bishop, Taren",8/1/21,Florida
373,"Bishop, Gerard",7/1/21,New York
925,"Bishop, Lizabeth",5/1/21,Texas
348,"Bishop, Jerrold",11/1/21,Texas
169,"Bishop, Annelle",11/1/21,New York
323,"Bishop, Crissy",10/1/21,Florida
170,"Bishop, Denisha",3/1/21,New York
119,"Bishop, Berniece",6/1/21,New York
681,"Bishop, Eugene",9/1/21,New York
477,"Bishop, Jaimee",10/1/21,Florida
428,"Bishop, Milan",10/1/21,New York
324,"Bishop, Torie",11/1/21,Florida
402,"Bishop, Xiomara",9/1/21,Florida
403,"Bishop, Carmon",8/1/21,Florida
966,"Bishop, Astrid",7/1/21,Massachusetts
378,"Bishop, Emiko",5/1/21,New York
456,"Bishop, Randa",11/1/21,Florida
480,"Bishop, Ronny",11/1/21,New York
327,"Bishop, Daniell",10/1/21,Arizona
378,"Bishop, Salena",10/1/21,Florida
353,"Bishop, Angeline",10/1/21,Florida
404,"Bishop, Ian",10/1/21,Texas
979,"Bishop, Ludivina",10/1/21,New York; New Jersey
124,"Bishop, Cherie",10/1/21,Florida
482,"Bishop, Clayton",1/1/21,New York
150,"Bishop, Moshe",6/1/21,New York
997,"Bishop, Dorthy",2/1/21,Florida
151,"Bishop, Cora",10/1/21,New York
228,"Bishop, Patrick",10/1/21,Florida; New York
177,"Bishop, Marvis",11/1/21,Arizona; California; Pennsylvania
279,"Bishop, Taren",9/1/21,Connecticut
356,"Bishop, Cora",8/1/21,New York
101,"Bishop, Ching",7/1/21,New York
280,"Bishop, Berniece",5/1/21,New York
408,"Bishop, Vina",11/1/21,New York
332,"Bishop, Lawana",11/1/21,New York
509,"Bishop, Preston",10/1/21,New York
460,"Bishop, Kasey",2/1/21,New Jersey
258,"BlackCanary, Ronny",4/1/21,New York
104,"BlackCanary, Eugene",6/1/21,New York
104,"BlackCanary, Ching",11/1/21,New York; Texas
309,"BlackCanary, Theressa",11/1/21,New York
281,"BlackCanary, Fidel",11/1/21,Florida
413,"BlackCanary, Fernande",11/1/21,Florida
312,"BlackCanary, Jerrold",11/1/21,Florida; Rhode Island
389,"BlackCanary, Ching",11/1/21,Florida
59@,"BlackCanary, Aide",11/1/21,Florida
71@,"BlackCanary, Kandra",11/1/21,Florida; Ohio
288,"BlackCanary, Lela",11/1/21,Massachusetts
365,"BlackCanary, Loraine",11/1/21,New York
442,"BlackCanary, Torie",10/1/21,New Jersey
334,"BlackCanary, Jospeh",10/1/21,New Jersey
212,"BlackCanary, Mauricio",10/1/21,New York
851,"BlackCanary, Yolonda",10/1/21,New York
469,"BlackCanary, Theressa",10/1/21,Texas
187,"BlackCanary, Florrie",10/1/21,Florida
418,"BlackCanary, Denver",10/1/21,New Jersey;New York
603,"BlackCanary, Taren",10/1/21,Florida
348,"BlackCanary, Joella",10/1/21,Texas
240,"BlackCanary, Jospeh",10/1/21,Florida
292,"BlackCanary, Dorthy",10/1/21,New York
190,"BlackCanary, Bula",3/1/21,Texas
422,"BlackCanary, Eugene",6/1/21,Texas
191,"BlackCanary, Torie",9/1/21,New York
898,"BlackCanary, Joella",10/1/21,Florida
902,"BlackCanary, Kasey",10/1/21,New York
391,"BlackCanary, Vertie",11/1/21,New York
192,"BlackCanary, Theressa",9/1/21,New York
193,"BlackCanary, Annelle",8/1/21,Florida
296,"BlackCanary, Yaeko",7/1/21,New York
118,"BlackCanary, Lela",5/1/21,Florida
246,"BlackCanary, Florrie",11/1/21,Florida
196,"BlackCanary, Mauricio",11/1/21,Florida
298,"BlackCanary, Olene",10/1/21,Massachusetts
946,"BlackCanary, Olene",3/1/21,New York
326,"BlackCanary, Salena",6/1/21,Florida
967,"BlackCanary, Xiomara",9/1/21,New York
208,"BlackCanary, Emiko",10/1/21,Arizona
481,"BlackCanary, Mauricio",10/1/21,Florida
124,"BlackCanary, Ronny",11/1/21,Florida
201,"BlackCanary, Salena",9/1/21,Texas
996,"BlackCanary, Latarsha",8/1/21,New York; New Jersey
330,"BlackCanary, Marge",7/1/21,Florida
489,"BlackCanary, Lisha",5/1/21,New York
280,"BlackCanary, Margaretta",11/1/21,New York
357,"BlackCanary, Randa",11/1/21,Florida
434,"BlackCanary, Annelle",10/1/21,New York
408,"BlackCanary, Vina",3/1/21,Florida; New York
153,"BlackWidow, Coralee",6/1/21,Arizona; California; Pennsylvania
410,"BlackWidow, Leonore",9/1/21,Connecticut
231,"BlackWidow, Olene",10/1/21,New York
206,"BlackWidow, Olene",10/1/21,New York
533,"BlackWidow, Lizabeth",11/1/21,New York
790,"BlackWidow, Lela",9/1/21,New York
386,"BlackWidow, Helene",8/1/21,New York
233,"BlackWidow, Florrie",7/1/21,New York
361,"BlackWidow, Carmel",5/1/21,New Jersey
131,"BlackWidow, Debra",11/1/21,New York
157,"BlackWidow, Taren",11/1/21,New York
286,"BlackWidow, Xiomara",10/1/21,New York; Texas
235,"BlackWidow, Preston",10/1/21,New York
440,"BlackWidow, Ludivina",10/1/21,Florida
338,"BlackWidow, Yaeko",10/1/21,Florida
466,"BlackWidow, Dawn",10/1/21,Florida; Rhode Island
441,"BlackWidow, Abram",10/1/21,Florida
364,"BlackWidow, Daniell",1/1/21,Florida
837,"BlackWidow, Cora",6/1/21,Florida; Ohio
417,"BlackWidow, Cora",2/1/21,Massachusetts
391,"BlackWidow, Alona",10/1/21,New York
367,"BlackWidow, Mauricio",10/1/21,New Jersey
290,"BlackWidow, Eugene",11/1/21,New Jersey
291,"BlackWidow, Moshe",9/1/21,New York
342,"BlackWidow, Helene",8/1/21,New York
393,"BlackWidow, Ronny",7/1/21,Texas
189,"BlackWidow, Emiko",5/1/21,Florida
618,"BlackWidow, Fernande",11/1/21,New Jersey;New York
189,"BlackWidow, Carmel",11/1/21,Florida
369,"BlackWidow, Christi",10/1/21,Texas
318,"BlackWidow, Jospeh",2/1/21,Florida
114,"BlackWidow, Joella",4/1/21,New York
124,"BlackWidow, Kimber",6/1/21,Texas
192,"BlackWidow, Fidel",11/1/21,Texas
294,"BlackWidow, Jazmin",11/1/21,New York
448,"BlackWidow, Dorthy",11/1/21,Florida
448,"BlackWidow, Loraine",11/1/21,New York
424,"BlackWidow, Helene",11/1/21,New York
142,"BlackWidow, Fidel",11/1/21,New York
168,"BlackWidow, Felix",11/1/21,Florida
322,"BlackWidow, Annelle",11/1/21,New York
922,"BlackWidow, Denver",11/1/21,Florida
194,"BlackWidow, Jazmin",11/1/21,Florida
271,"BlackWidow, Berniece",10/1/21,Florida
373,"BlackWidow, Torie",10/1/21,Massachusetts
374,"BlackWidow, Jospeh",10/1/21,New York
143,"BlackWidow, Olene",10/1/21,Florida
374,"BlackWidow, Florrie",10/1/21,New York
163,"BlackWidow, Joella",10/1/21,Arizona
144,"BlackWidow, Randa",10/1/21,Florida
451,"BlackWidow, Eugenie",10/1/21,Florida
144,"BlackWidow, Fidel",10/1/21,Texas
170,"BlackWidow, Ian",10/1/21,New York; New Jersey
400,"BlackWidow, Eugenie",10/1/21,Florida
375,"BlackWidow, Kasey",3/1/21,New York
426,"BlackWidow, Taren",6/1/21,New York
177,"BlackWidow, Coralee",9/1/21,Florida
172,"BlackWidow, Xiomara",10/1/21,New York
275,"BlackWidow, Kasey",10/1/21,Florida; New York
300,"BlackWidow, Dorthy",11/1/21,Arizona; California; Pennsylvania
480,"BlackWidow, Dawn",9/1/21,Connecticut
276,"BlackWidow, Fernande",8/1/21,New York
199,"BlackWidow, Debra",7/1/21,New York
481,"BlackWidow, Lela",5/1/21,New York
430,"BlackWidow, Helene",11/1/21,New York
456,"BlackWidow, Delois",11/1/21,New York
478,"BlackWidow, Eugene",10/1/21,New York
227,"BlackWidow, Gerard",3/1/21,New Jersey
458,"BlackWidow, Xiomara",6/1/21,New York
356,"BlackWidow, Cherie",9/1/21,New York
458,"BlackWidow, Emiko",10/1/21,New York; Texas
491,"BlackWidow, Dorthy",10/1/21,New York
330,"BlackWidow, Vertie",11/1/21,Florida
151,"BlackWidow, Ludivina",9/1/21,Florida
497,"BlackWidow, Marybelle",8/1/21,Florida; Rhode Island
204,"Cable, Carmel",7/1/21,Florida
281,"Cable, Emiko",5/1/21,Florida
179,"Cable, Lela",11/1/21,Florida; Ohio
265,"Cable, Denisha",11/1/21,Massachusetts
308,"Cable, Patrick",10/1/21,New York
411,"Cable, Xiomara",3/1/21,New Jersey
156,"Cable, Melani",6/1/21,New Jersey
131,"Cable, Nohemi",9/1/21,New York
36@,"Cable, Lela",10/1/21,New York
562,"Cable, Lawana",10/1/21,Texas
210,"Cable, Daniell",11/1/21,Florida
389,"Cable, Lenore",9/1/21,New Jersey;New York
441,"Cable, Genie",8/1/21,Florida
185,"Cable, Lizabeth",7/1/21,Texas
390,"Cable, Leonore",5/1/21,Florida
136,"Cable, Theressa",11/1/21,New York
863,"Cable, Salena",11/1/21,Texas
100,"Cable, Denver",10/1/21,Texas
368,"Cable, Salena",10/1/21,New York
445,"Cable, Leonora",10/1/21,Florida
420,"Cable, Cherie",10/1/21,New York
267,"Cable, Genie",10/1/21,New York
395,"Cable, Elmo",10/1/21,New York
345,"Cable, Astrid",1/1/21,Florida
648,"Cable, Moshe",6/1/21,New York
193,"Cable, Bula",2/1/21,Florida
416,"Cable, Jospeh",10/1/21,Florida
297,"Cable, Moshe",10/1/21,Florida
195,"Cable, Ronny",11/1/21,Massachusetts
400,"Cable, Chaya",9/1/21,New York
477,"Cable, Helene",8/1/21,Florida
940,"Cable, Dorthy",7/1/21,New York
350,"Cable, Coralee",5/1/21,Arizona
402,"Cable, Genie",11/1/21,Florida
146,"Cable, Nohemi",11/1/21,Florida
442,"Cable, Kasey",10/1/21,Texas
172,"Cable, Preston",2/1/21,New York; New Jersey
326,"Cable, Kasey",4/1/21,Florida
712,"Cable, Theressa",6/1/21,New York
225,"Cable, Xiomara",11/1/21,New York
206,"Cable, Annelle",11/1/21,Florida
207,"Cable, Millicent",11/1/21,New York
463,"Cable, Felix",11/1/21,Florida; New York
226,"Cable, Xiomara",11/1/21,Arizona; California; Pennsylvania
431,"Cable, Moshe",11/1/21,Connecticut
225,"Cable, Delois",11/1/21,New York
201,"Cable, Florrie",11/1/21,New York
483,"Cable, Marge",11/1/21,New York
483,"Cable, Yolonda",11/1/21,New York
228,"Cable, Torie",10/1/21,New York
382,"Cable, Ludivina",10/1/21,New York
434,"Cable, Melani",10/1/21,New Jersey
280,"Cable, Eugenie",10/1/21,New York
461,"Cage, Alona",10/1/21,New York
436,"Cage, Moshe",10/1/21,New York; Texas
155,"Cage, Ludivina",10/1/21,New York
104,"Cage, Bula",10/1/21,Florida
258,"Cage, Kiersten",10/1/21,Florida
234,"Cage, Eugene",10/1/21,Florida; Rhode Island
387,"Cage, Theressa",10/1/21,Florida
41@,"Cage, Florrie",3/1/21,Florida
414,"Cage, Melani",6/1/21,Florida; Ohio
363,"Cage, Ian",9/1/21,Massachusetts
567,"Cage, Ching",10/1/21,New York
134,"Cage, Alona",10/1/21,New Jersey
65@,"Cage, Israel",11/1/21,New Jersey
237,"Cage, Marvis",9/1/21,New York
325,"Cage, Yaeko",8/1/21,New York
72@,"Cage, Kandra",7/1/21,Texas
212,"Cage, Chester",5/1/21,Florida
468,"Cage, Clayton",11/1/21,New Jersey;New York
263,"Cage, Salena",11/1/21,Florida
263,"Cage, Mauricio",10/1/21,Texas
601,"Cage, Vina",3/1/21,Florida
604,"Cage, Eugene",6/1/21,New York
190,"Cage, Eugenie",9/1/21,Texas
216,"Cage, Elmo",10/1/21,Texas
370,"Cage, Yaeko",10/1/21,New York
140,"Cage, Nohemi",11/1/21,Florida
345,"Cage, Chester",9/1/21,New York
