Provider Name,Person Account: Email,Degree,Insurance Program
"Batman, Xiomara",provider_820@helloalma.com,PhD,Yes
"Batman, Fernande",provider_2631@helloalma.com,LCSW,Yes
"Batman, Christi",provider_4167@helloalma.com,LMHC,Yes
"Batman, Alona",provider_2376@helloalma.com,LCSW,Yes
"Batman, Florrie",provider_1353@helloalma.com,LMHC,Yes
"Batman, Chester",provider_332@helloalma.com,LMHC,No
"Batman, Chester",provider_1620@helloalma.com,LCSW,Yes
"Batman, Emiko",provider_1624@helloalma.com,PhD,Yes
"Batman, Cherie",provider_3676@helloalma.com,LMSW,Yes
"Batman, Lauryn",provider_1120@helloalma.com,PhD,Yes
"Batman, Ching",provider_1377@helloalma.com,LCSW,Yes
"Batman, Patrick",provider_3431@helloalma.com,LMHC,Yes
"Batman, Joella",provider_875@helloalma.com,LCSW,Yes
"Batman, Joella",provider_2923@helloalma.com,LMHC,Yes
"Batman, Kasey",provider_3182@helloalma.com,LCSW,Yes
"Batman, Kasey",provider_4463@helloalma.com,LMHC,Yes
"Batman, Mauricio",provider_1651@helloalma.com,LMHC,No
"Batman, Aide",provider_3702@helloalma.com,LCSW,Yes
"Batman, Annelle",provider_2170@helloalma.com,PhD,Yes
"Batman, Lawana",provider_127@helloalma.com,LMSW,Yes
"Batman, Christi",provider_129@helloalma.com,PhD,Yes
"Batman, Angeline",provider_897@helloalma.com,LCSW,Yes
"Batman, Kasey",provider_3205@helloalma.com,LMHC,Yes
"Batman, Annelle",provider_390@helloalma.com,LCSW,No
"Batman, Olene",provider_3209@helloalma.com,LMHC,Yes
"Batman, Hyo",provider_2958@helloalma.com,LMHC,No
"Batman, Cherie",provider_1177@helloalma.com,LCSW,Yes
"Batman, Lela",provider_2979@helloalma.com,PhD,Yes
"Batman, Torie",provider_2221@helloalma.com,LMSW,Yes
"Batman, Theressa",provider_3503@helloalma.com,PhD,Yes
"Batman, Eugenie",provider_3506@helloalma.com,LCSW,Yes
"Batman, Lela",provider_1718@helloalma.com,LMHC,Yes
"Batman, Loraine",provider_188@helloalma.com,LCSW,Yes
"Batman, Delois",provider_4284@helloalma.com,LMHC,Yes
"Batman, Vina",provider_447@helloalma.com,LCSW,Yes
"Batman, Moshe",provider_3522@helloalma.com,LMHC,Yes
"Batman, Anthony",provider_4546@helloalma.com,LMHC,Yes
"Batman, Kami",provider_3013@helloalma.com,LCSW,Yes
"Batman, Theressa",provider_710@helloalma.com,PhD,Yes
"Batman, Millicent",provider_4296@helloalma.com,LMSW,Yes
"Batman, Christi",provider_2250@helloalma.com,PhD,No
"Batman, Jospeh",provider_1995@helloalma.com,LCSW,Yes
"Batman, Jospeh",provider_2257@helloalma.com,LMHC,Yes
"Batman, Carmel",provider_4817@helloalma.com,LCSW,No
"Batman, Margaretta",provider_982@helloalma.com,LMHC,Yes
"Batman, Marybelle",provider_1751@helloalma.com,LMHC,Yes
"Batman, Lenore",provider_4058@helloalma.com,LCSW,Yes
"Batman, Leonore",provider_1246@helloalma.com,PhD,Yes
"Batman, Kasey",provider_2788@helloalma.com,LMSW,Yes
"Batman, Lenore",provider_3564@helloalma.com,PhD,Yes
"Batman, Millicent",provider_1262@helloalma.com,LCSW,Yes
"Batman, Denisha",provider_4593@helloalma.com,LMHC,Yes
"Batman, Jazmin",provider_1010@helloalma.com,LCSW,Yes
"Batman, Astrid",provider_502@helloalma.com,LMHC,Yes
"Batman, Loraine",provider_1015@helloalma.com,LCSW,Yes
"Batman, Alona",provider_2301@helloalma.com,LMHC,Yes
"Beast, Lela",provider_2568@helloalma.com,LMHC,Yes
"Beast, Patrick",provider_4616@helloalma.com,LCSW,Yes
"Beast, Vina",provider_2314@helloalma.com,PhD,Yes
"Beast, Coralee",provider_2826@helloalma.com,LMSW,Yes
"Beast, Jaimee",provider_2317@helloalma.com,PhD,Yes
"Beast, Mauricio",provider_4625@helloalma.com,LCSW,No
"Beast, Kasey",provider_2584@helloalma.com,LMHC,Yes
"Beast, Laticia",provider_4637@helloalma.com,LCSW,Yes
"Beast, Denver",provider_799@helloalma.com,LMHC,No
"Beast, Cherie",provider_4392@helloalma.com,LMHC,Yes
"Beast, Cherie",provider_1066@helloalma.com,LCSW,Yes
"Beast, Kasey",provider_3626@helloalma.com,PhD,Yes
"Beast, Milan",provider_4658@helloalma.com,LMSW,Yes
"Beast, Millicent",provider_4660@helloalma.com,PhD,No
"Beast, Laticia",provider_4150@helloalma.com,LCSW,Yes
"Beast, Corrie",provider_2879@helloalma.com,LMHC,Yes
"Beast, Jazmin",provider_1601@helloalma.com,LCSW,Yes
"Beast, Emiko",provider_3137@helloalma.com,LMHC,Yes
"Beast, Vertie",provider_324@helloalma.com,LCSW,Yes
"Beast, Dorthy",provider_2887@helloalma.com,LMHC,Yes
"Beast, Dorthy",provider_4679@helloalma.com,LMHC,Yes
"Beast, Kami",provider_3153@helloalma.com,LCSW,Yes
"Beast, Theressa",provider_1876@helloalma.com,PhD,No
"Beast, Debra",provider_2911@helloalma.com,LMSW,No
"Beast, Olene",provider_4705@helloalma.com,PhD,Yes
"Beast, Christi",provider_1390@helloalma.com,LCSW,Yes
"Beast, Eugene",provider_4728@helloalma.com,LMHC,No
"Bishop, Emiko",provider_2055@helloalma.com,LCSW,Yes
"Bishop, Yolonda",provider_278@helloalma.com,LMHC,Yes
"Bishop, Ronny",provider_2591@helloalma.com,LMHC,Yes
"Bishop, Emiko",provider_1827@helloalma.com,LCSW,Yes
"Bishop, Kami",provider_4650@helloalma.com,PhD,Yes
"Bishop, Maragret",provider_3379@helloalma.com,LMSW,Yes
"Bishop, Jospeh",provider_4152@helloalma.com,PhD,Yes
"Bishop, Hyo",provider_1337@helloalma.com,LCSW,Yes
"Bishop, Elene",provider_827@helloalma.com,LMHC,Yes
"Bishop, Darius",provider_836@helloalma.com,LCSW,Yes
"Bishop, Crissy",provider_3653@helloalma.com,LMHC,Yes
"Bishop, Daniell",provider_1352@helloalma.com,LCSW,Yes
"Bishop, Eugenie",provider_2120@helloalma.com,LMHC,Yes
"Bishop, Darius",provider_3404@helloalma.com,LMHC,Yes
"Bishop, Emiko",provider_4174@helloalma.com,LCSW,Yes
"Bishop, Jerrold",provider_2897@helloalma.com,PhD,Yes
"Bishop, Dawn",provider_2642@helloalma.com,LMSW,Yes
"Bishop, Angeline",provider_860@helloalma.com,PhD,Yes
"Bishop, Clayton",provider_356@helloalma.com,LCSW,Yes
"Bishop, Debra",provider_1127@helloalma.com,LMHC,Yes
"Bishop, Melani",provider_3177@helloalma.com,LCSW,Yes
"Bishop, Taren",provider_4202@helloalma.com,LMHC,Yes
"Bishop, Yolonda",provider_2163@helloalma.com,LMHC,Yes
"Bishop, Fernande",provider_1653@helloalma.com,LCSW,Yes
"Bishop, Ronny",provider_1658@helloalma.com,PhD,Yes
"Bishop, Nohemi",provider_893@helloalma.com,LMSW,Yes
"Bishop, Vertie",provider_130@helloalma.com,PhD,No
"Bishop, Anthony",provider_3714@helloalma.com,LCSW,No
"Bishop, Annelle",provider_1926@helloalma.com,LMHC,Yes
"Bishop, Loraine",provider_1677@helloalma.com,LCSW,Yes
"Bishop, Cherie",provider_3728@helloalma.com,LMHC,Yes
"Bishop, Maragret",provider_3475@helloalma.com,LCSW,Yes
"Bishop, Ronny",provider_2452@helloalma.com,LMHC,Yes
"Bishop, Taren",provider_152@helloalma.com,LMHC,Yes
"Bishop, Gerard",provider_3739@helloalma.com,LCSW,Yes
"Bishop, Lizabeth",provider_925@helloalma.com,PhD,Yes
"Bishop, Jerrold",provider_3486@helloalma.com,LMSW,Yes
"Bishop, Annelle",provider_1699@helloalma.com,PhD,Yes
"Bishop, Crissy",provider_3235@helloalma.com,LCSW,Yes
"Bishop, Denisha",provider_1702@helloalma.com,LMHC,No
"Bishop, Berniece",provider_1192@helloalma.com,LCSW,Yes
"Bishop, Eugene",provider_681@helloalma.com,LMHC,Yes
"Bishop, Jaimee",provider_4779@helloalma.com,LMHC,Yes
"Bishop, Milan",provider_428@helloalma.com,LCSW,Yes
"Bishop, Torie",provider_3249@helloalma.com,PhD,Yes
"Bishop, Xiomara",provider_4028@helloalma.com,LMSW,Yes
"Bishop, Carmon",provider_4032@helloalma.com,PhD,Yes
"Bishop, Astrid",provider_966@helloalma.com,LCSW,Yes
"Bishop, Emiko",provider_3782@helloalma.com,LMHC,Yes
"Bishop, Randa",provider_456@helloalma.com,LCSW,Yes
"Bishop, Ronny",provider_4808@helloalma.com,LMHC,Yes
"Bishop, Daniell",provider_3274@helloalma.com,LCSW,Yes
"Bishop, Salena",provider_3786@helloalma.com,LMHC,Yes
"Bishop, Angeline",provider_3534@helloalma.com,LMHC,No
"Bishop, Ian",provider_4048@helloalma.com,LCSW,Yes
"Bishop, Ludivina",provider_979@helloalma.com,PhD,Yes
"Bishop, Cherie",provider_1240@helloalma.com,LMSW,No
"Bishop, Clayton",provider_4825@helloalma.com,PhD,Yes
"Bishop, Moshe",provider_1508@helloalma.com,LCSW,Yes
"Bishop, Dorthy",provider_997@helloalma.com,LMHC,Yes
"Bishop, Cora",provider_1511@helloalma.com,LCSW,No
"Bishop, Patrick",provider_2280@helloalma.com,LMHC,No
"Bishop, Marvis",provider_1770@helloalma.com,LMHC,Yes
"Bishop, Taren",provider_2794@helloalma.com,LCSW,No
"Bishop, Cora",provider_3566@helloalma.com,PhD,Yes
"Bishop, Ching",provider_1013@helloalma.com,LMSW,Yes
"Bishop, Berniece",provider_2807@helloalma.com,PhD,Yes
"Bishop, Vina",provider_4088@helloalma.com,LCSW,Yes
"Bishop, Lawana",provider_3323@helloalma.com,LMHC,No
"Bishop, Preston",provider_509@helloalma.com,LCSW,Yes
"Bishop, Kasey",provider_4607@helloalma.com,LMHC,No
"BlackCanary, Ronny",provider_258@helloalma.com,LCSW,Yes
"BlackCanary, Eugene",provider_1040@helloalma.com,LMHC,Yes
"BlackCanary, Ching",provider_1044@helloalma.com,LMHC,Yes
"BlackCanary, Theressa",provider_3092@helloalma.com,LCSW,No
"BlackCanary, Fidel",provider_281@helloalma.com,PhD,Yes
"BlackCanary, Fernande",provider_4132@helloalma.com,LMSW,Yes
"BlackCanary, Jerrold",provider_3123@helloalma.com,PhD,Yes
"BlackCanary, Ching",provider_3895@helloalma.com,LCSW,Yes
"BlackCanary, Aide",provider_59@helloalma.com,LMHC,Yes
"BlackCanary, Kandra",provider_71@helloalma.com,LCSW,Yes
"BlackCanary, Lela",provider_2889@helloalma.com,LMHC,Yes
"BlackCanary, Loraine",provider_3657@helloalma.com,LMHC,Yes
"BlackCanary, Torie",provider_4425@helloalma.com,LCSW,Yes
"BlackCanary, Jospeh",provider_334@helloalma.com,PhD,Yes
"BlackCanary, Mauricio",provider_2128@helloalma.com,LMSW,No
"BlackCanary, Yolonda",provider_851@helloalma.com,PhD,Yes
"BlackCanary, Theressa",provider_4692@helloalma.com,LCSW,Yes
"BlackCanary, Florrie",provider_1877@helloalma.com,LMHC,Yes
"BlackCanary, Denver",provider_4184@helloalma.com,LCSW,Yes
"BlackCanary, Taren",provider_603@helloalma.com,LMHC,Yes
"BlackCanary, Joella",provider_348@helloalma.com,LCSW,No
"BlackCanary, Jospeh",provider_2407@helloalma.com,LMHC,Yes
"BlackCanary, Dorthy",provider_2922@helloalma.com,LMHC,Yes
"BlackCanary, Bula",provider_1904@helloalma.com,LCSW,Yes
"BlackCanary, Eugene",provider_4221@helloalma.com,PhD,Yes
"BlackCanary, Torie",provider_1918@helloalma.com,LMSW,Yes
"BlackCanary, Joella",provider_898@helloalma.com,PhD,Yes
"BlackCanary, Kasey",provider_902@helloalma.com,LCSW,Yes
"BlackCanary, Vertie",provider_391@helloalma.com,LMHC,Yes
"BlackCanary, Theressa",provider_1928@helloalma.com,LCSW,Yes
"BlackCanary, Annelle",provider_1930@helloalma.com,LMHC,Yes
"BlackCanary, Yaeko",provider_2960@helloalma.com,LMHC,No
"BlackCanary, Lela",provider_1181@helloalma.com,LCSW,Yes
"BlackCanary, Florrie",provider_2464@helloalma.com,PhD,Yes
"BlackCanary, Mauricio",provider_1960@helloalma.com,LMSW,Yes
"BlackCanary, Olene",provider_2987@helloalma.com,PhD,Yes
"BlackCanary, Olene",provider_946@helloalma.com,LCSW,Yes
"BlackCanary, Salena",provider_3260@helloalma.com,LMHC,Yes
"BlackCanary, Xiomara",provider_967@helloalma.com,LCSW,No
"BlackCanary, Emiko",provider_208@helloalma.com,LMHC,Yes
"BlackCanary, Mauricio",provider_4818@helloalma.com,LCSW,No
"BlackCanary, Ronny",provider_1241@helloalma.com,LMHC,Yes
"BlackCanary, Salena",provider_2018@helloalma.com,LMHC,Yes
"BlackCanary, Latarsha",provider_996@helloalma.com,LCSW,Yes
"BlackCanary, Marge",provider_3304@helloalma.com,PhD,Yes
"BlackCanary, Lisha",provider_489@helloalma.com,LMSW,Yes
"BlackCanary, Margaretta",provider_2804@helloalma.com,PhD,Yes
"BlackCanary, Randa",provider_3573@helloalma.com,LCSW,Yes
"BlackCanary, Annelle",provider_4341@helloalma.com,LMHC,Yes
"BlackCanary, Vina",provider_4087@helloalma.com,LCSW,Yes
